"REF_DATE","GEO","DGUID","Traveller characteristics","Traveller type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-03","Canada","2016A000011124","United States of America residents entering Canada","Travellers","Travellers","418","units","0","v1296956469","1.3.1","1336056","","","","0"
"2024-03","Canada","2016A000011124","United States of America residents entering Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956470","1.3.2","535805","","","","0"
"2024-03","Canada","2016A000011124","United States of America residents entering Canada","Tourists (overnight)","Travellers","418","units","0","v1296956471","1.3.3","800251","","","","0"
"2024-03","Canada","2016A000011124","Residents of countries other than the United States of America entering Canada","Travellers","Travellers","418","units","0","v1296956514","1.18.1","346888","","","","0"
"2024-03","Canada","2016A000011124","Residents of countries other than the United States of America entering Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956515","1.18.2","14258","","","","0"
"2024-03","Canada","2016A000011124","Residents of countries other than the United States of America entering Canada","Tourists (overnight)","Travellers","418","units","0","v1296956516","1.18.3","332630","","","","0"
"2024-03","Canada","2016A000011124","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296956583","1.41.1","5014786","","","","0"
"2024-03","Canada","2016A000011124","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956584","1.41.2","1568349","","","","0"
"2024-03","Canada","2016A000011124","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296956585","1.41.3","3446437","","","","0"
"2024-03","Canada","2016A000011124","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296956586","1.42.1","3587100","","","","0"
"2024-03","Canada","2016A000011124","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296956587","1.42.2","1556258","","","","0"
"2024-03","Canada","2016A000011124","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296956588","1.42.3","2030842","","","","0"
"2024-03","Canada","2016A000011124","Crew entering or returning to Canada","Travellers","Travellers","418","units","0","v1296956683","1.75.1","628291","","","","0"
"2024-03","Canada","2016A000011124","Other non-tourism related purposes","Travellers","Travellers","418","units","0","v1296956699","1.91.1","130041","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","United States of America residents entering Canada","Travellers","Travellers","418","units","0","v1296956704","2.3.1","357","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","United States of America residents entering Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956705","2.3.2","294","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","United States of America residents entering Canada","Tourists (overnight)","Travellers","418","units","0","v1296956706","2.3.3","63","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Residents of countries other than the United States of America entering Canada","Travellers","Travellers","418","units","0","v1296956728","2.18.1","875","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Residents of countries other than the United States of America entering Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956729","2.18.2","297","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Residents of countries other than the United States of America entering Canada","Tourists (overnight)","Travellers","418","units","0","v1296956730","2.18.3","578","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296956776","2.41.1","3170","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956777","2.41.2","207","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296956778","2.41.3","2963","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296956779","2.42.1","1160","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296956780","2.42.2","112","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296956781","2.42.3","1048","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Crew entering or returning to Canada","Travellers","Travellers","418","units","0","v1296956852","2.75.1","577","","","","0"
"2024-03","Newfoundland and Labrador","2016A000210","Other non-tourism related purposes","Travellers","Travellers","418","units","0","v1296956862","2.91.1","601","","","","0"
"2024-03","Avalon Peninsula","","United States of America residents entering Canada","Travellers","Travellers","418","units","0","v1296956867","3.3.1","112","","","","0"
"2024-03","Avalon Peninsula","","United States of America residents entering Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956868","3.3.2","65","","","","0"
"2024-03","Avalon Peninsula","","United States of America residents entering Canada","Tourists (overnight)","Travellers","418","units","0","v1296956869","3.3.3","47","","","","0"
"2024-03","Avalon Peninsula","","Residents of countries other than the United States of America entering Canada","Travellers","Travellers","418","units","0","v1296956891","3.18.1","433","","","","0"
"2024-03","Avalon Peninsula","","Residents of countries other than the United States of America entering Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956892","3.18.2","138","","","","0"
"2024-03","Avalon Peninsula","","Residents of countries other than the United States of America entering Canada","Tourists (overnight)","Travellers","418","units","0","v1296956893","3.18.3","295","","","","0"
"2024-03","Avalon Peninsula","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296956939","3.41.1","2754","","","","0"
"2024-03","Avalon Peninsula","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956940","3.41.2","83","","","","0"
"2024-03","Avalon Peninsula","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296956941","3.41.3","2671","","","","0"
"2024-03","Avalon Peninsula","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296956942","3.42.1","1112","","","","0"
"2024-03","Avalon Peninsula","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296956943","3.42.2","67","","","","0"
"2024-03","Avalon Peninsula","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296956944","3.42.3","1045","","","","0"
"2024-03","Avalon Peninsula","","Crew entering or returning to Canada","Travellers","Travellers","418","units","0","v1296957015","3.75.1","387","","","","0"
"2024-03","Avalon Peninsula","","Other non-tourism related purposes","Travellers","Travellers","418","units","0","v1296957025","3.91.1","393","","","","0"
"2024-03","St. John's","","United States of America residents entering Canada","Travellers","Travellers","418","units","0","v1296957193","5.3.1","112","","","","0"
"2024-03","St. John's","","United States of America residents entering Canada","Excursionists (same-day)","Travellers","418","units","0","v1296957194","5.3.2","65","","","","0"
"2024-03","St. John's","","United States of America residents entering Canada","Tourists (overnight)","Travellers","418","units","0","v1296957195","5.3.3","47","","","","0"
"2024-03","St. John's","","Residents of countries other than the United States of America entering Canada","Travellers","Travellers","418","units","0","v1296957217","5.18.1","433","","","","0"
"2024-03","St. John's","","Residents of countries other than the United States of America entering Canada","Excursionists (same-day)","Travellers","418","units","0","v1296957218","5.18.2","138","","","","0"
