"REF_DATE","GEO","DGUID","Traveller characteristics","Traveller type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-03","Eastern Newfoundland","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296957917","9.41.1","99","","p","","0"
"2025-03","Eastern Newfoundland","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296957918","9.41.2","99","","p","","0"
"2025-03","Fortune","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296958243","11.41.1","99","","p","","0"
"2025-03","Fortune","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296958244","11.41.2","99","","p","","0"
"2025-03","Labrador","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296958406","12.41.1","18","","p","","0"
"2025-03","Labrador","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296958407","12.41.2","17","","p","","0"
"2025-03","Labrador","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296958408","12.41.3","1","","p","","0"
"2025-03","Labrador","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296958409","12.42.1","18","","p","","0"
"2025-03","Labrador","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296958410","12.42.2","17","","p","","0"
"2025-03","Labrador","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296958411","12.42.3","1","","p","","0"
"2025-03","Goose Bay","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296958569","13.41.1","18","","p","","0"
"2025-03","Goose Bay","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296958570","13.41.2","17","","p","","0"
"2025-03","Goose Bay","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296958571","13.41.3","1","","p","","0"
"2025-03","Goose Bay","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296958572","13.42.1","18","","p","","0"
"2025-03","Goose Bay","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296958573","13.42.2","17","","p","","0"
"2025-03","Goose Bay","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296958574","13.42.3","1","","p","","0"
"2025-03","Western Newfoundland","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296958732","14.41.1","202","","p","","0"
"2025-03","Western Newfoundland","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296958733","14.41.2","72","","p","","0"
"2025-03","Western Newfoundland","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296958734","14.41.3","130","","p","","0"
"2025-03","Western Newfoundland","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296958735","14.42.1","10","","p","","0"
"2025-03","Western Newfoundland","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296958736","14.42.2","10","","p","","0"
"2025-03","Corner Brook","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296958895","15.41.1","201","","p","","0"
"2025-03","Corner Brook","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296958896","15.41.2","71","","p","","0"
"2025-03","Corner Brook","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296958897","15.41.3","130","","p","","0"
"2025-03","Corner Brook","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296958898","15.42.1","9","","p","","0"
"2025-03","Corner Brook","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296958899","15.42.2","9","","p","","0"
"2025-03","Stephenville","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296959221","17.41.1","1","","p","","0"
"2025-03","Stephenville","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296959222","17.41.2","1","","p","","0"
"2025-03","Stephenville","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296959224","17.42.1","1","","p","","0"
"2025-03","Stephenville","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296959225","17.42.2","1","","p","","0"
"2025-03","Prince Edward Island","2016A000211","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296959384","18.41.1","7","","p","","0"
"2025-03","Prince Edward Island","2016A000211","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296959385","18.41.2","5","","p","","0"
"2025-03","Prince Edward Island","2016A000211","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296959386","18.41.3","2","","p","","0"
"2025-03","Prince Edward Island Area","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296959547","19.41.1","7","","p","","0"
"2025-03","Prince Edward Island Area","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296959548","19.41.2","5","","p","","0"
"2025-03","Prince Edward Island Area","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296959549","19.41.3","2","","p","","0"
"2025-03","Charlottetown","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296959710","20.41.1","7","","p","","0"
"2025-03","Charlottetown","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296959711","20.41.2","5","","p","","0"
"2025-03","Charlottetown","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296959712","20.41.3","2","","p","","0"
"2025-03","Nova Scotia","2016A000212","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296959915","21.41.1","42815","","p","","0"
"2025-03","Nova Scotia","2016A000212","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296959916","21.41.2","221","","p","","0"
"2025-03","Nova Scotia","2016A000212","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296959917","21.41.3","42594","","p","","0"
"2025-03","Nova Scotia","2016A000212","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296959918","21.42.1","16037","","p","","0"
"2025-03","Nova Scotia","2016A000212","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296959919","21.42.2","175","","p","","0"
"2025-03","Nova Scotia","2016A000212","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296959920","21.42.3","15862","","p","","0"
"2025-03","Cape Breton","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296960150","22.41.1","3","","p","","0"
"2025-03","Cape Breton","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296960151","22.41.2","1","","p","","0"
"2025-03","Cape Breton","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296960152","22.41.3","2","","p","","0"
"2025-03","Cape Breton","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296960153","22.42.1","3","","p","","0"
"2025-03","Cape Breton","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296960154","22.42.2","1","","p","","0"
"2025-03","Cape Breton","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296960155","22.42.3","2","","p","","0"
"2025-03","Sydney","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296960620","24.41.1","3","","p","","0"
"2025-03","Sydney","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296960621","24.41.2","1","","p","","0"
"2025-03","Sydney","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296960622","24.41.3","2","","p","","0"
"2025-03","Sydney","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296960623","24.42.1","3","","p","","0"
"2025-03","Sydney","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296960624","24.42.2","1","","p","","0"
"2025-03","Sydney","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296960625","24.42.3","2","","p","","0"
"2025-03","Evangeline Trail/Lighthouse Route","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296960855","25.41.1","11","","p","","0"
"2025-03","Evangeline Trail/Lighthouse Route","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296960856","25.41.2","11","","p","","0"
"2025-03","Evangeline Trail/Lighthouse Route","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296960858","25.42.1","11","","p","","0"
"2025-03","Evangeline Trail/Lighthouse Route","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296960859","25.42.2","11","","p","","0"
"2025-03","Yarmouth","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296961560","28.41.1","11","","p","","0"
"2025-03","Yarmouth","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296961561","28.41.2","11","","p","","0"
"2025-03","Yarmouth","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296961563","28.42.1","11","","p","","0"
"2025-03","Yarmouth","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296961564","28.42.2","11","","p","","0"
"2025-03","Halifax/Dartmouth Area","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296961795","29.41.1","42801","","p","","0"
"2025-03","Halifax/Dartmouth Area","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296961796","29.41.2","209","","p","","0"
"2025-03","Halifax/Dartmouth Area","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296961797","29.41.3","42592","","p","","0"
"2025-03","Halifax/Dartmouth Area","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296961798","29.42.1","16023","","p","","0"
"2025-03","Halifax/Dartmouth Area","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296961799","29.42.2","163","","p","","0"
"2025-03","Halifax/Dartmouth Area","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296961800","29.42.3","15860","","p","","0"
"2025-03","Halifax/Dartmouth","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296962030","30.41.1","42801","","p","","0"
"2025-03","Halifax/Dartmouth","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296962031","30.41.2","209","","p","","0"
"2025-03","Halifax/Dartmouth","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296962032","30.41.3","42592","","p","","0"
"2025-03","Halifax/Dartmouth","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296962033","30.42.1","16023","","p","","0"
"2025-03","Halifax/Dartmouth","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296962034","30.42.2","163","","p","","0"
"2025-03","Halifax/Dartmouth","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296962035","30.42.3","15860","","p","","0"
"2025-03","New Brunswick","2016A000213","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296962735","33.41.1","108367","","p","","0"
